p_id,p_name,address,tags,open_time,open_day,category,price,p_rate,link
f166,하늘담은카페,서울 강서구 방화대로33길 3 성은빌딩 6층 (우)07605,,카페,"월~토 10:00 ~ 23:00
더보기",f,,0/5,https://place.map.kakao.com/25464181#comment
f168,더카페,서울 관악구 신림로 319 (우)08776,,커피전문점,,f,,0/5,https://place.map.kakao.com/15736442#comment
f169,슈퍼보드,서울 마포구 홍익로5안길 14 (우)04039,,카페,,f,,0/5,https://place.map.kakao.com/1435282268#comment
f1611,숲숨그레이,서울 강남구 강남대로156길 45 (우)06034,"카페, 양떼목장, 애견놀이터, 보드게임, 안마의자,

오락실, 노래방, 플스, 만화책을 한 곳에서!",카페,"매일 00:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/1813261034#comment
f1612,놀숲 종로점,서울 종로구 삼일대로17길 8 대신빌딩 3층 (우)03190,,북카페,매일 10:00 ~ 24:00,f,,0/5,https://place.map.kakao.com/1797985577#comment
f1613,코드케이 강남점,서울 강남구 봉은사로2길 31 지하1층 (우)06123,,테마카페,매일 10:00 ~ 23:00,f,,0/5,https://place.map.kakao.com/1528582359#comment
f1614,손오공마라탕 서교점,서울 마포구 잔다리로6길 23 (우)04039,,중식,,f,,0/5,https://place.map.kakao.com/474254018#comment
f170,브롱스 강남점,서울 강남구 강남대로94길 15 (우)06129,하우스맥주 전문점,"호프,요리주점",매일 17:00 ~ 02:00,f,,0/5,https://place.map.kakao.com/26546475#comment
f171,룸즈에이 홍대점,서울 마포구 와우산로23길 8 더모임빌딩 지하1층 (우)04054,,테마카페,매일 10:50 ~ 23:30,f,,0/5,https://place.map.kakao.com/902163133#comment
f172,홀릭스,서울 서초구 서초대로77길 24 3층 (우)06614,,"호프,요리주점",매일 16:00 ~ 06:00,f,,0/5,https://place.map.kakao.com/14660285#comment
f174,소셜팩토리 홍대1호점,서울 마포구 와우산로21길 19-19 (우)04041,"현대엔지니어링에서 재직하고 현재 취업강사가 직접 운영하고 있습니다.
취업과 관련된 모든 자료와 상담이 가능합니다.
취업스터디, 어학스터디, 회의, 모임공간 등 모임전문공간 소셜팩토리를 찾아주세요

- 이용료는 1인 1시간 1,500원 입니다. (홍대 지역 최저가!!)
- 건물 내 주차좌석까지 있어 소형, 중형, 일반 SUV 차량 등 주차도 가능합니다.
- 강연, 세미나, 플리마켓, 스터디, 행사, 원데이클래스 등도 가능한 홍대 합정 상수 모임전문공간 입니다.
- 컬러프린트,컬러복사,컬러스캔 : (A4 칼라 50원) (A3 칼라 100원)
- 모임에 필요한 화이트보드, 빔프로젝터, 공기청정기, 전신거울, 독서대, 담요, 스탠드, 와이파이 등 모든 것들이 구비 되어 있습니다.

ROOM [A] : 2~4 인
ROOM [B] : 4~8 인
ROOM [C] : 8~14 인
ROOM [D] : 2인~4인
HALL [M] : 20~50 인",북카페,"매일 10:00 ~ 23:00
더보기",f,,0/5,https://place.map.kakao.com/27494166#comment
f175,디벙크,서울 마포구 성지1길 30 지하 2층 (우)04072,"문화와 예술의 공간, 따뜻한 휴식의 공간,
좋은 사람들이 만나 멋진 이야기와 생각을 나누는
공간, 空間, The Space, 디벙크 입니다.

단순한 카페 그 이상을 지향하는 '공간' 디벙크는,
때로는 음악가들의 무대, 때로는 예술가들의 전시회,
그리고 가을밤 작은 소극장의 스크린이 되어 드릴 것 입니다.

환영합니다.
그리고 반갑습니다.",커피전문점,"월~금 09:00 ~ 22:00
더보기",f,,0/5,https://place.map.kakao.com/1040119941#comment
f176,꼬꼬아찌 홍대직영점,서울 마포구 와우산로21길 31-10 1층 (우)04041,,치킨,,f,,0/5,https://place.map.kakao.com/1950621524#comment
f177,쉼스토리,서울 강남구 역삼로3길 17 혜진빌딩 3층 (우)06242,새로운 개념의 힐링 라운지,테마카페,"월~금 10:00 ~ 22:30
더보기",f,,0/5,https://place.map.kakao.com/27464586#comment
f178,룸카페 바니,서울 강남구 강남대로96길 12 3층 301호 (우)06129,,테마카페,"월~금 12:00 ~ 24:00
더보기",f,,0/5,https://place.map.kakao.com/1259936409#comment
f179,코다차야 신촌점,서울 서대문구 명물길 32 준성빌딩 지하1층 (우)03777,,실내포장마차,,f,,0/5,https://place.map.kakao.com/773237827#comment
f1710,이스케이퍼스,서울 마포구 연희로1길 7 2층 3층 (우)03985,,테마카페,,f,,0/5,https://place.map.kakao.com/969459474#comment
f1711,집사의하루 강남역점,서울 강남구 강남대로102길 14 5층 (우)06128,유기묘 보호 캣카페,고양이카페,매일 12:00 ~ 22:00,f,,0/5,https://place.map.kakao.com/2057870125#comment
