name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags
골목집,서울특별시 양천구 목동중앙북로 4,전통 주점 / 포차,,,14:00 - 22:00,,2,"닭볶음탕,포장마차,6시내고향,낙지볶음,전통 주점,"
해밀,서울특별시 양천구 목동동로 339 목동 트윈빌 1F,라멘 / 소바 / 우동,,,11:00 - 20:50,,5,"돈까스,"
유정순대,서울특별시 중랑구 면목로37길 42,탕 / 찌개 / 전골,,,11:00 - 21:00,,2,
마르셀,서울특별시 강남구 언주로152길 15-6,프랑스 음식,,,11:00 - 23:00,4.3,48,"2020망고플레이트인기맛집,"
쿡앤밀107,서울특별시 노원구 중계로16가길 5,카페 / 디저트,,,월-토: 09:00 - 22:00 일: 10:00 - 20:00,,2,"브런치,"
하이디라오,서울특별시 서초구 서초대로77길 54 W-TOWER,기타 중식,하이디라오 평일런치세트(1인),22900,10:00 - 09:00,4.3,83,"Gangnam Station,중식,2018 인기,EAT딜있는식당,Visa프리미엄할인2배,마라탕,훠궈,2020망고플레이트인기맛집,강남역,24시,"
할범탕수육,서울특별시 양천구 목동중앙북로 15,정통 중식 / 일반 중식,,,09:30 - 22:00,3.3,24,"튀김,포장가능,정통 중식,국수,목동맛집,떡볶이,탕수육,수육,"
왕빈자삼파전,서울특별시 강북구 도봉로8길 25,한정식 / 백반 / 정통 한식,,,00:00 - 24:00,3.0,15,"생방송투데이,김치전,파전,막걸리,24시,"
카페 이졸레,서울특별시 구로구 도림천로 336 1F,카페 / 디저트,,,화-금: 08:10 - 22:00 토: 12:00 - 21:00 일: 12:00 - 19:00,,5,
와플잇업,서울특별시 서대문구 이화여대3길 42-19,카페 / 디저트,아메리카노,4000,월-토: 12:00 - 23:00 일: 13:00 - 22:30,4.0,196,"이화여대,Date Night,와플,Ewha Womans University,공부,달다,바삭한,젤라또,"
몰틀리,서울특별시 은평구 은평로 135 2F,이탈리안,,,월-목: 12:00 - 23:00 금-토: 17:00 - 02:00,,2,
무명칼국수,서울특별시 노원구 석계로7길 4,국수 / 면 요리,,,09:30 - 21:30,4.1,16,"오래된맛집,오래된한식당,만두,칼국수,닭칼국수,"
카페구움,서울특별시 금천구 시흥대로 315 212호,카페 / 디저트,,,,,0,
다용도실,서울특별시 은평구 연서로20길 17,카페 / 디저트,,,일-목: 13:00 - 23:00 금-토: 13:00 - 24:00,,4,
참새식당 스즈메,서울특별시 은평구 연서로29길 22-44 1F 102호,일반 주점,모듬생선초밥 (13pcs),16000,17:00 - 01:00,,2,
생어거스틴,서울특별시 구로구 디지털로 300 지밸리비즈플라자 2F,다국적 아시아 음식,,,11:30 - 22:00,,2,"지밸리몰,"
해물알탕전문,서울특별시 동대문구 전농로14길 12,해산물 요리,,,12:00 - 01:00,,5,
조개나루터,서울특별시 중랑구 중랑천로12길 59,해산물 요리,,,,,1,"조개구이,"
전티마이베트남쌀국수,서울특별시 동작구 노량진로16길 28 B1,,,,,3.9,11,"쌀국수,"
