u_id,p_id,rating
168,3321,2
169,5165,5
170,5091,3
170,4931,1
171,1746,5
171,2029,5
171,4597,3
171,3379,3
171,5304,1
171,2710,2
171,1547,3
171,2525,2
171,4775,3
171,3052,4
171,2774,3
171,2184,4
171,404,4
171,431,4
171,4999,4
171,1502,5
171,3177,4
171,3719,3
171,4962,4
171,3666,5
171,4664,5
171,4728,1
171,3070,4
171,4980,4
171,3046,4
171,4602,3
171,3316,5
171,789,4
171,1428,3
171,1667,4
171,3434,4
171,2150,3
171,5380,4
171,5129,2
171,1204,2
171,944,4
171,2881,4
171,3077,1
171,2437,4
171,2279,4
171,4177,3
171,1799,2
171,2162,4
171,3655,4
171,1865,3
172,4761,5
172,5259,5
173,1478,1
173,5090,5
173,5090,5
174,3754,4
174,2902,4
174,5021,4
174,5011,3
174,492,5
174,4298,5
174,4223,5
174,4597,4
174,5353,5
175,953,5
175,3784,5
175,1684,5
175,1891,5
175,1203,5
175,1891,5
175,693,5
175,1251,5
175,579,5
175,3838,5
175,4601,5
175,4861,5
175,3761,5
175,2177,5
175,1356,5
175,4915,5
175,3388,5
175,1824,5
175,2930,5
175,3319,5
175,4471,5
175,742,5
175,4352,5
175,2160,5
175,4279,5
175,3883,5
175,2489,5
175,925,1
175,5048,5
175,1474,3
175,5026,5
175,2200,5
175,5153,5
175,2091,5
175,3817,5
175,4734,5
175,2253,5
175,2253,5
175,1846,5
175,1180,5
175,1846,5
175,1846,5
175,1846,5
175,1846,5
175,1846,5
175,802,5
175,1346,5
175,1846,5
175,3650,5
175,5038,5
175,1368,5
175,4758,5
175,1273,5
175,1273,5
175,2690,5
175,473,5
175,777,5
175,573,5
175,3324,5
175,3074,5
175,4080,5
175,910,5
175,2069,5
175,3764,5
175,1225,5
175,585,5
175,2231,5
175,709,5
175,1366,5
175,956,5
175,4830,5
175,2146,5
175,1366,5
175,460,5
175,4758,5
175,3368,3
175,1184,5
175,4218,5
175,1738,5
175,4136,5
175,2531,5
175,1476,5
175,4583,5
175,1057,5
175,1225,5
175,958,5
176,4264,5
176,4594,4
177,5171,5
177,4113,1
178,920,5
178,3156,5
178,513,5
178,4380,5
178,4936,5
178,2496,3
178,2169,3
178,5090,5
178,1695,5
178,4973,3
178,1501,3
178,2106,5
178,3629,5
178,289,5
178,3423,5
178,4855,5
178,2509,5
178,3385,5
178,3075,5
178,5171,5
178,1972,5
178,255,5
178,3644,3
178,2609,5
178,3644,5
178,2211,5
178,1784,5
178,3569,5
178,1424,5
178,1718,2
178,4811,5
178,3851,5
178,2916,5
178,5276,5
178,3912,5
178,1496,5
178,962,5
178,1032,5
178,1186,3
178,4164,5
178,5139,5
178,364,3
178,1621,5
178,1555,5
179,2481,1
179,3323,5
180,1440,5
180,1111,3
180,4233,3
180,3797,3
181,1978,5
182,5122,5
183,2742,3
183,5218,5
184,3719,3
184,3079,4
185,3470,5
185,2664,5
186,38,3
187,2750,4
188,1499,5
189,2840,5
190,4153,4
190,4293,4
190,930,4
190,522,4
190,1559,5
190,1778,4
190,4579,5
190,2124,4
191,1932,3
191,387,5
191,2187,5
192,755,5
193,464,5
194,2211,5
194,3991,3
194,3884,5
195,5343,5
196,2253,3
196,5059,3
196,2611,3
196,615,3
196,4315,3
196,3619,3
197,154,5
198,1858,2
199,4790,5
200,3835,5
200,1012,3
200,891,5
200,4701,1
201,2701,3
201,2250,5
201,4758,5
201,3420,5
201,3394,5
201,2769,5
201,5298,5
201,1755,5
201,5445,5
201,1695,5
201,3877,5
201,17,5
201,192,5
201,1301,5
202,2768,5
203,1420,5
204,3277,5
204,46,5
204,297,3
205,4366,5
205,2414,3
206,1696,3
207,3928,1
208,151,5
209,3470,3
210,1251,1
211,507,5
212,3249,3
213,4792,5
214,4646,5
215,4066,1
216,3138,5
217,3500,2
218,222,5
219,5380,1
220,4881,5
221,2122,5
221,3893,5
222,3774,5
223,1972,5
223,2254,5
224,1221,5
224,1346,5
224,2535,3
224,4394,5
225,5410,5
225,9,5
226,2753,5
226,3619,5
227,4574,5
227,3255,5
228,3512,5
228,4776,4
229,2176,5
229,3724,5
229,3694,5
229,2177,5
230,2852,3
231,4417,5
231,1960,5
231,410,3
231,177,5
231,1049,3
231,4314,5
231,2632,3
231,3209,5
231,1552,5
231,2339,5
231,331,5
231,335,3
231,2340,5
231,4596,5
231,2948,3
231,2528,5
231,4586,3
231,452,5
231,4142,3
231,3744,5
231,4642,5
231,68,3
231,1621,3
231,68,5
231,3996,3
231,4960,5
231,102,5
231,5090,5
231,5153,5
231,2767,3
231,4557,5
231,490,5
231,4728,3
231,4688,5
231,4887,5
231,3277,3
231,1180,5
231,1056,5
231,1846,5
231,2724,5
231,3554,5
231,3216,5
231,3216,5
231,1679,5
231,2612,3
231,3920,1
231,2604,3
231,2059,3
231,265,3
231,405,5
231,559,5
231,4387,5
231,3343,1
231,4387,3
231,3981,5
231,2254,5
231,157,3
231,2177,5
231,3359,3
231,3988,3
231,4501,5
231,3776,3
231,211,5
231,1602,5
231,5445,1
231,2084,5
231,4986,5
231,694,3
231,3705,5
231,449,5
231,339,5
231,3705,5
231,1699,5
231,351,3
231,3772,3
231,2008,5
231,309,5
231,2335,5
231,2825,5
231,2888,5
231,264,5
231,3578,5
231,1699,5
231,4080,5
231,3964,5
231,5251,5
231,2084,5
231,4833,5
231,4019,5
231,2531,5
231,5068,3
231,2084,5
231,4379,5
231,28,5
231,1732,3
231,43,3
231,4153,5
231,3908,5
231,3578,5
231,2221,5
231,2653,5
231,643,5
231,2270,5
231,46,3
231,4646,5
231,4758,5
231,1606,5
231,1606,5
231,2257,3
231,1904,3
231,4881,3
231,3186,5
231,2307,5
231,1002,5
231,4388,5
231,3118,5
231,332,5
231,1353,3
231,2274,3
231,332,3
231,2250,1
231,158,5
231,4332,5
231,3629,3
231,3991,3
231,643,5
231,3673,5
231,332,3
231,3066,3
231,1535,5
231,1618,1
231,4213,5
231,3839,5
231,2667,5
231,1424,5
231,3564,3
231,3564,3
232,5146,5
233,5249,3
234,1048,5
235,637,1
235,5230,1
235,923,1
236,1360,3
236,5273,3
236,3035,3
236,4050,3
236,3445,1
236,2717,3
236,3838,1
236,1535,3
236,2576,1
236,5060,3
236,2955,3
236,3002,3
236,368,3
236,3705,3
236,2352,3
236,3608,5
236,4734,3
236,1946,3
236,3259,3
236,2718,3
236,2768,3
236,2052,1
236,4039,1
236,2221,3
236,2765,5
237,1603,5
238,5038,3
239,4322,5
239,262,5
239,5257,5
240,4152,5
241,4,1
242,1681,5
243,3932,4
244,2909,1
244,1391,5
244,4574,5
244,2187,5
244,1310,5
244,4834,5
245,1384,5
246,2764,1
246,683,5
247,3187,5
248,5273,5
249,1797,5
249,3203,1
249,2306,5
249,5217,1
249,158,5
249,1225,1
250,4152,5
250,1331,5
250,3797,5
250,2483,3
250,1543,5
250,782,5
250,3448,5
250,1904,5
251,2666,5
252,1914,1
252,1468,5
252,1797,3
252,1995,3
253,466,5
254,4315,3
255,2032,5
255,5300,5
255,1410,5
255,689,5
255,3928,5
255,3600,5
255,2203,5
255,3247,5
255,3993,5
255,1675,5
255,2002,5
255,38,5
255,1448,5
255,9,5
255,2002,5
255,2995,5
255,5327,3
255,4981,5
255,1979,5
255,2840,3
255,3487,5
256,3101,5
256,4720,5
256,3382,5
256,2177,5
256,3913,5
256,1720,5
256,4694,5
256,1226,5
257,2314,5
257,458,1
258,2154,5
259,1852,3
260,2352,5
260,2221,5
260,1501,5
260,1226,5
261,538,5
262,2765,5
262,1699,3
262,2211,5
263,4080,5
263,1904,3
264,3382,3
264,229,5
264,3136,1
264,1859,5
264,3159,1
264,5300,5
264,1772,5
265,4653,5
266,4183,5
267,5168,5
268,4142,5
268,1943,5
268,2888,3
268,1924,5
268,3359,5
268,1496,5
268,1738,5
268,1750,5
268,5234,3
268,4213,3
268,1306,3
268,412,5
268,5251,5
268,3795,5
268,1360,5
268,5300,3
269,2253,5
270,5382,4
271,2855,5
272,694,5
272,2257,5
272,4440,3
272,3514,3
273,5448,2
273,2012,1
274,538,5
275,4667,5
276,602,5
277,95,5
278,3327,5
278,3447,3
278,3728,4
278,2177,3
278,1087,5
278,1667,5
278,4006,4
278,2118,4
278,4792,5
278,4977,5
278,3817,5
278,5146,1
278,4678,5
278,4233,3
278,895,5
278,1600,5
278,3131,3
278,1712,4
278,431,5
278,3505,5
278,3708,5
278,3243,5
278,1289,4
278,2472,4
278,4345,4
278,3932,5
278,2846,4
278,5059,3
278,3814,5
278,3729,5
279,3835,5
279,3835,5
280,3672,4
280,4056,5
280,521,4
280,4363,5
280,3649,4
280,2314,3
280,3762,4
281,1885,4
282,3976,5
283,54,4
284,102,5
284,1778,1
284,1548,5
284,3029,3
284,2577,1
284,3719,1
284,3410,4
284,2122,5
284,1986,5
284,4651,3
284,4843,3
284,720,5
284,1342,3
284,3423,5
284,769,3
284,4831,5
284,3838,5
284,4866,3
284,3253,5
284,2651,5
284,4113,5
284,2580,5
285,554,5
286,3177,5
286,2253,5
287,3761,3
288,4487,5
289,3180,1
290,1554,3
291,1406,5
291,1226,5
