p_name,address,category,main_mn,price,opng_tm,rating,rvw_cnt,tags,p_id
해남식당,서울특별시 구로구 디지털로 300 지밸리비즈플라자 2F,탕 / 찌개 / 전골,,,월-금: 11:30 - 22:00 토-일: 11:30 - 21:30,,4.0,"지밸리몰,김치찌개,",5211
행복김밥,서울특별시 도봉구 해등로 128,기타 한식,,,,,2.0,,5239
누룩나무,서울특별시 종로구 인사동16길 13,전통 주점 / 포차,,,17:00 - 01:00,4.0,15.0,"술집추천,2020망고플레이트인기맛집,술집,막걸리,한식 주점,홍어,택배,운치있는,",736
통큰갈비,서울특별시 서대문구 연세로5다길 9,고기 요리,스테이크갈비 무한리필,11000.0,16:30 - 02:00,4.1,97.0,"고기,리필,무한리필,웨이팅,",4804
하이투피플,서울특별시 도봉구 우이천로 483,카페 / 디저트,,,12:00 - 22:00,,2.0,,5118
스시텐,서울특별시 광진구 구의강변로 86,회 / 스시,,,11:30 - 22:00,3.7,37.0,"초밥,우동,베이비체어,냉모밀,가성비 초밥,회,",2804
빈브라더스,서울특별시 마포구 토정로 35-1,카페 / 디저트,아메리카노,6000.0,11:00 - 23:00,4.3,89.0,"2020망고플레이트인기맛집,카페,분위기좋은카페,플랫화이트,아메리카노,커피,합정데이트카페,리필,",2238
Village Brewery,서울특별시 서대문구 연세로11길 34,치킨 / 호프 / 펍,,,12:00 - 01:00,3.9,8.0,"술집추천,2020망고플레이트인기맛집,",115
이요이요스시,서울특별시 마포구 마포대로 58 베스트웨스턴 가든호텔 B1,정통 일식 / 일반 일식,런치,45000.0,12:00 - 22:00,4.3,13.0,"회,",3811
컨플릭트 스토어 (휴업중),서울특별시 강남구 논현로159길 46-5,카페 / 디저트,,,,4.3,37.0,"2020망고플레이트인기맛집,",4583
파파비,서울특별시 구로구 개봉로17길 18 1F,카페 / 디저트,,,11:00 - 21:00,,6.0,"케이크,",4879
대가식당,서울특별시 강동구 올림픽로 683,고기 요리,,,,,3.0,,859
피카피오,서울특별시 강동구 천호대로 1065,카페 / 디저트,,,11:00 - 23:00,3.5,18.0,"수제초콜릿,마카롱,발렌타인데이,빙수,초코빙수,초콜릿,",5062
경성주막1929,서울특별시 도봉구 도봉로 730,일반 주점,,,,,1.0,,273
이엄청난참치,서울특별시 강서구 양천로 691-8,회 / 스시,,,18:00 - 24:00,,1.0,"회,콜키지가능,",3808
우이정풍천장어,서울특별시 도봉구 방학로 298,해산물 요리,,,,,2.0,"장어,",3605
오가네팬케이크,서울특별시 동작구 노량진로 187,,,,,3.9,46.0,"노량진가성비맛집,소시지,샐러드,브런치,",3359
야마토텐동,서울특별시 성북구 고려대로28길 2,돈부리 / 일본 카레 / 벤토,,,11:30 - 21:30,3.9,24.0,,3137
페페로니,서울특별시 마포구 월드컵로3길 14 딜라이트스퀘어2차,퓨전 양식,,,화-금: 18:00 - 24:00 토-일: 12:00 - 24:00,4.3,7.0,"술집추천,데이트,",4923
농민백암왕순대,서울특별시 강남구 역삼로3길 20-4,탕 / 찌개 / 전골,국밥,8000.0,월-금: 11:10 - 21:00 토: 11:10 - 15:30,4.5,193.0,"에디터,2018 인기,순대국밥,2020망고플레이트인기맛집,Gangnam Station,강남역,",727
라페리체,서울특별시 관악구 관악로14길 34 B1,이탈리안,,,11:30 - 22:00,3.9,11.0,,1252
파운드 로컬,서울특별시 서초구 나루터로 65,카페 / 디저트,,,10:00 - 24:00,4.0,12.0,,4861
산동교자,서울특별시 중구 명동2길 22,정통 중식 / 일반 중식,오향장육,24000.0,11:00 - 21:30,4.1,15.0,"중국집,화교,오향장육,깐풍기,정통 중식,단체석,짜장면,만두,짬뽕,탕수육,",2335
강용구족발보쌈,서울특별시 은평구 불광로 37-4,고기 요리,,,11:00 - 23:00,,0.0,,226
카페브르브르,서울특별시 동작구 사당로29가길 6,카페 / 디저트,,,월,4.0,8.0,,4497
포담,서울특별시 종로구 자하문로9길 11,딤섬 / 만두,샤오롱바오,6500.0,11:30 - 21:00,4.2,174.0,"Dim Sum,중식,2018 인기,2017 인기,만두,강북,탕수육,Tongin-dong,Chinese,대만음식,",4946
송아저씨빈대떡,서울특별시 서대문구 연세로7안길 29,한정식 / 백반 / 정통 한식,,,16:00 - 02:30,4.3,12.0,"빈대떡,계란찜,전통 주점,술집추천,포켓볼,막걸리,",2612
라도맨션,서울특별시 구로구 공원로8길 53 창인빌딩,고기 요리,,,15:00 - 24:00,4.1,16.0,"술집추천,고깃집,2020망고플레이트인기맛집,돼지고기맛집,삼겹살,수제맥주,",1206
탭하우스어반,서울특별시 동작구 동작대로25길 46,치킨 / 호프 / 펍,,,18:00 - 05:00,,6.0,,4741
라화쿵부,서울특별시 동작구 만양로 94-1,기타 중식,,,11:00 - 02:00,3.0,6.0,,1258
노말키친,서울특별시 도봉구 도봉로114길 29,퓨전 양식,,,,3.7,30.0,,705
토리고야,서울특별시 동작구 동작대로27가길 31,이자카야 / 오뎅 / 꼬치,,,,,5.0,,4783
서울갈비,서울특별시 관악구 남부순환로 1645,고기 요리,,,12:00 - 02:00,4.2,43.0,"고깃집,차돌박이,된장찌개,우삼겹,서울대,2020망고플레이트인기맛집,소갈비,Seoul National University,삼겹살,",2457
