tags,p_id,p_rate,link,open_day,price,address,p_name,category,open_time
카페와 다양한 형태의 도서관이 만난 카페형 독서공간,c191,0/5,https://place.map.kakao.com/1440664454#comment,"화~토 00:00 ~ 24:00
더보기",,"서울 양천구 목동서로 37 하이베라스 2층 205, 206호 (우)07984",커피랑도서관 목동파리공원점,c,북카페
,c1910,0/5,https://place.map.kakao.com/1869648412#comment,,,서울 강남구 강남대로102길 13-8 (우)06123,콤마커피,c,카페
,c1911,0/5,https://place.map.kakao.com/18840626#comment,,,서울 광진구 능동로 302 3층 (우)04985,모지트 군자역점,c,북카페
,c192,0/5,https://place.map.kakao.com/364022794#comment,매일 10:00 ~ 24:00,,서울 은평구 통일로 1050 (우)03306,놀멘서가 롯데몰 은평점,c,북카페
,c193,0/5,https://place.map.kakao.com/27415824#comment,"매일 14:00 ~ 22:00
더보기",,서울 광진구 능동로13길 6 (우)05011,색깔있는사주,c,사주카페
,c194,0/5,https://place.map.kakao.com/1603156484#comment,,,"서울 강동구 구천면로 428 센트로빌 3층 306,307호 (우)05292",거북이도서관,c,북카페
,c197,0/5,https://place.map.kakao.com/688980088#comment,,,서울 종로구 성균관로 12 (우)03074,놀숲,c,카페
만화카페,c198,0/5,https://place.map.kakao.com/1386161664#comment,매일 11:00 ~ 24:00,,서울 은평구 연서로27길 17 3층 (우)03333,책보는고릴라,c,북카페
,c199,0/5,https://place.map.kakao.com/1137467814#comment,,,서울 강동구 양재대로128길 14 (우)05302,모지트,c,북카페
,c20,0/5,https://place.map.kakao.com/961216598#comment,매일 11:00 ~ 02:00,,서울 성동구 왕십리로 271 2층 (우)04745,체셔코믹스카페,c,만화카페
,c21,0/5,https://place.map.kakao.com/612085381#comment,"월~금 12:00 ~ 23:00
더보기",,서울 동대문구 망우로18가길 3 태영빌딩 2층 (우)02499,아지트,c,만화카페
,c210,0/5,https://place.map.kakao.com/20741489#comment,,,서울 송파구 올림픽로 203 2층 254호 (우)05503,휴,c,만화카페
