address,tags,open_time,price,p_id,link,p_rate,category,p_name,open_day
서울 은평구 응암로 168 (우)03478,,보드카페,,f714,https://place.map.kakao.com/16442301#comment,0/5,f,보드게임카페클루,
서울 서대문구 명물길 6 (우)03777,,보드카페,,f73,https://place.map.kakao.com/15730796#comment,0/5,f,펀타임,
서울 관악구 신원로 38 지하1층 (우)08776,,보드카페,,f75,https://place.map.kakao.com/985613689#comment,0/5,f,보드아일랜드,매일 12:00 ~ 24:00
서울 강서구 마곡중앙6로 89 (우)07803,,보드카페,,f76,https://place.map.kakao.com/874543097#comment,0/5,f,비앤비 바&보드카페,매일 00:00 ~ 24:00
서울 동대문구 회기로 150 (우)02460,,보드카페,,f77,https://place.map.kakao.com/610526037#comment,0/5,f,미플보드게임,"매일 12:00 ~ 23:30
더보기"
서울 강남구 언주로172길 36 (우)06017,,보드카페,,f78,https://place.map.kakao.com/17284147#comment,0/5,f,AP보드카페,
서울 마포구 양화로6길 57 지하 1층 (우)04047,,보드카페,,f79,https://place.map.kakao.com/1539188192#comment,0/5,f,코티지가든,
서울 서초구 논현로17길 3 (우)06775,,보드카페,,f81,https://place.map.kakao.com/1474890310#comment,0/5,f,아수라발발타,
서울 광진구 광나루로17길 14-5 지하 1층 (우)05005,,보드카페,,f811,https://place.map.kakao.com/441104215#comment,0/5,f,매드포미니어쳐,
서울 강남구 선릉로155길 15 (우)06019,,보드카페,,f813,https://place.map.kakao.com/27243553#comment,0/5,f,MGM보드게임,
서울 마포구 동교로17안길 10 1층 (우)04002,RPG 보드게임 카페,보드카페,,f814,https://place.map.kakao.com/242934803#comment,0/5,f,카페깔깔고블린,"화~금 11:00 ~ 22:00
더보기"
서울 강남구 선릉로155길 13 (우)06019,,보드카페,,f89,https://place.map.kakao.com/11806453#comment,0/5,f,미라클,
"서울 강남구 강남대로102길 14 3, 4층 (우)06128",,보드카페,,f91,https://place.map.kakao.com/1963445342#comment,0/5,f,다빈치보드게임카페,
서울 동대문구 휘경로 5-1 7층 레이지클라우드 (우)02419,,보드카페,,f92,https://place.map.kakao.com/998616711#comment,0/5,f,레이지클라우드,매일 13:00 ~ 24:00
서울 성북구 동소문로20길 29-17 3층 (우)02845,보드게임카페,보드카페,,f97,https://place.map.kakao.com/26920410#comment,0/5,f,슈퍼보드,매일 13:00 ~ 23:00
